TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
Civilian Labor Force,525741.67,528500,534516.67,536033.33,538466.67,544625,553225,557875,560325,559975,546300,542800,547625,550616.67,542571.53
  Civilian Employment,466716.67,473141.67,485933.33,495291.67,504833.33,517066.67,528408.33,536308.33,542308.33,542525,497175,508183.33,528016.67,527841.67,507651.39
  Civilian Unemployment,59008.33,55366.67,48591.67,40733.33,33633.33,27575,24808.33,21558.33,18025,17466.67,49141.67,34625,19600,22766.67,34919.44
Civilian Unemployment Rate,0.11,0.1,0.09,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.09,0.06,0.04,0.04,0.06
"Total, All Industries",318125,319166.67,327558.33,337833.33,344208.33,350766.67,364175,370325,372966.67,375216.67,345775,355891.67,374158.33,376283.33,329378.33
  Total Farm,708.33,825,791.67,825,783.33,716.67,825,775,708.33,750,733.33,708.33,1050,1108.33,786.67
  Total Nonfarm,317416.67,318341.67,326766.67,337008.33,343425,350050,363350,369550,372258.33,374466.67,345041.67,355183.33,373108.33,375175,328591.67
    Goods Producing,36725,35358.33,37208.33,37108.33,37075,37791.67,40208.33,41083.33,41783.33,42066.67,39325,39750,41208.33,42158.33,36695
      Mining Logging and Construction,18258.33,17758.33,19641.67,21700,21800,22791.67,25350,25500,26100,26075,24300,25825,27216.67,28041.67,19831.67
      Manufacturing,18466.67,17600,17566.67,15408.33,15275,15000,14858.33,15583.33,15683.33,15991.67,15025,13925,13991.67,14116.67,16863.33
        Durable Goods,6900,6691.67,7008.33,6466.67,6575,6666.67,6550,6508.33,6391.67,6458.33,6350,6316.67,6500,6433.33,6728.33
        Nondurable Goods,11566.67,10908.33,10558.33,8941.67,8700,8333.33,8308.33,9075,9291.67,9533.33,8675,7608.33,7491.67,7683.33,10135
    Service Providing,280691.67,282983.33,289558.33,299900,306350,312258.33,323141.67,328466.67,330475,332400,305716.67,315433.33,331900,333016.67,291896.67
      Trade Transportation & Utilities,55941.67,56508.33,57425,58716.67,60358.33,62466.67,64858.33,65233.33,64158.33,61941.67,58941.67,61858.33,64975,64275,57790
        Wholesale Trade,7608.33,7883.33,8150,8658.33,9191.67,9550,10383.33,10600,9766.67,9008.33,8425,7966.67,8166.67,8450,8298.33
        Retail Trade,40375,40533.33,41191.67,41133.33,41575,42341.67,43258.33,43116.67,42783.33,41450,38591.67,40866.67,42200,41441.67,40961.67
        Transportation Warehousing and Utilities,7958.33,8091.67,8083.33,8925,9591.67,10575,11216.67,11516.67,11608.33,11483.33,11925,13025,14608.33,14383.33,8530
      Information,9608.33,8950,8433.33,8591.67,8325,8291.67,8116.67,7983.33,7816.67,7075,5925,5933.33,5858.33,5625,8781.67
      Financial Activities,25341.67,24808.33,25333.33,25308.33,25016.67,26258.33,26950,27366.67,26991.67,27016.67,25608.33,24858.33,24883.33,23450,25161.67
        Finance & Insurance,19175,18733.33,19033.33,18666.67,18191.67,19350,20025,20233.33,19725,19683.33,18783.33,17941.67,17300,15975,18760
        Real Estate & Rental & Leasing,6166.67,6075,6300,6641.67,6825,6908.33,6925,7133.33,7266.67,7333.33,6825,6916.67,7583.33,7475,6401.67
      Professional and Business Services,43775,45941.67,48141.67,52058.33,53158.33,50891.67,52108.33,54283.33,55266.67,56583.33,55933.33,56375,57625,54516.67,48615
        Professional Scientific & Technical Services,22608.33,23641.67,24100,24650,24908.33,23341.67,23816.67,22975,23433.33,24408.33,24741.67,25275,25833.33,24616.67,23981.67
        Management of Companies & Enterprises,5641.67,5825,5491.67,7966.67,8425,8491.67,8066.67,8366.67,8650,8891.67,8425,7308.33,7350,6408.33,6670
        Administrative and Support and Waste and Remediatio,15525,16475,18550,19441.67,19825,19058.33,20225,22941.67,23183.33,23283.33,22766.67,23791.67,24441.67,23491.67,17963.33
      Private Education and Health Services,53741.67,54341.67,56425,59508.33,61450,64116.67,67291.67,69341.67,70683.33,72408.33,69533.33,73383.33,77291.67,80666.67,57093.33
        Private Educational Services,6275,6750,7000,6983.33,6633.33,6658.33,7216.67,7516.67,7625,7700,6858.33,6950,7508.33,7833.33,6728.33
        Health Care & Social Assistance,47466.67,47591.67,49425,52525,54816.67,57458.33,60075,61825,63058.33,64708.33,62675,66433.33,69783.33,72833.33,50365
      Leisure and Hospitality,31308.33,32258.33,33500,35350,36291.67,38258.33,40500,40741.67,41258.33,42958.33,31666.67,34633.33,39700,40958.33,33741.67
        Arts Entertainment and Recreation,5483.33,5508.33,5858.33,5883.33,5966.67,6125,6508.33,6350,6491.67,6958.33,4500,5083.33,6175,7133.33,5740
        Accommodation & Food Services,25825,26750,27641.67,29466.67,30325,32133.33,33991.67,34391.67,34766.67,36000,27166.67,29550,33525,33825,28001.67
      Other Services,11766.67,12350,12358.33,12141.67,12533.33,12683.33,12958.33,13041.67,13491.67,13675,10666.67,11800,13391.67,14125,12230
      Government,49208.33,47825,47941.67,48225,49216.67,49291.67,50358.33,50475,50808.33,50741.67,47441.67,46591.67,48175,49400,48483.33
        Federal Government,5258.33,4841.67,4616.67,4450,4508.33,4683.33,4708.33,4808.33,4683.33,4733.33,5116.67,4841.67,4775,4808.33,4735
          State Government,1175,1158.33,1216.67,1300,1300,1358.33,1425,1416.67,1541.67,1608.33,1700,1658.33,1600,1600,1230
          Local Government,42775,41825,42108.33,42475,43408.33,43250,44225,44250,44583.33,44400,40625,40091.67,41800,42991.67,42518.33
