Main Category,Subcategories
"""Mining Logging and Construction"",12691.67,13558.33,13941.67,14583.33,15741.67,17408.33,18100.0,18858.33,19308.33,20408.33,19641.67,19183.33,17775.0,17666.67,14103.33",
"Manufacturing,26291.67,25508.33,24408.33,25450.0,25500.0,25350.0,25375.0,26125.0,25800.0,25658.33,24450.0,25175.0,25683.33,23108.33,25431.67","Durable Goods,12691.67,12166.67,11800.0,11933.33,11541.67,10950.0,10775.0,10591.67,10691.67,11150.0,10691.67,10050.0,10541.67,9616.67,12026.67, Nondurable Goods,13600.0,13341.67,12608.33,13516.67,13958.33,14400.0,14600.0,15533.33,15108.33,14508.33,13758.33,15125.0,15141.67,13491.67,13405.0"
"""Trade Transportation & Utilities"",68450.0,68483.33,70250.0,72341.67,74291.67,74091.67,76433.33,70833.33,71500.0,70641.67,62716.67,63641.67,64650.0,64900.0,70763.33","Wholesale Trade,11191.67,11125.0,11450.0,11200.0,11591.67,12208.33,12066.67,11958.33,11883.33,11533.33,10625.0,10816.67,11350.0,13325.0,11311.67, Retail Trade,32841.67,33200.0,33241.67,34050.0,34875.0,33666.67,33916.67,33683.33,33933.33,32708.33,29116.67,30033.33,29366.67,29183.33,33641.67, ""Transportation Warehousing and Utilities"",24416.67,24158.33,25558.33,27091.67,27825.0,28216.67,30450.0,25191.67,25683.33,26400.0,22975.0,22791.67,23933.33,22391.67,25810.0"
"Information,17450.0,17866.67,20850.0,23825.0,26650.0,27891.67,31591.67,34833.33,39375.0,45391.67,50716.67,54966.67,60325.0,53733.33,21328.33",
"Financial Activities,18625.0,19391.67,20133.33,20658.33,21691.67,21583.33,22533.33,22425.0,23375.0,23916.67,22625.0,22583.33,23591.67,22558.33,20100.0","Finance & Insurance,13183.33,13516.67,13933.33,14341.67,15375.0,14783.33,15433.33,15600.0,16533.33,16525.0,16491.67,16316.67,16975.0,16025.0,14070.0, Real Estate & Rental & Leasing,5441.67,5875.0,6200.0,6316.67,6316.67,6800.0,7100.0,6825.0,6841.67,7391.67,6133.33,6266.67,6616.67,6533.33,6030.0"
"Professional and Business Services,60008.33,64108.33,69758.33,71233.33,75150.0,76200.0,81683.33,81216.67,82450.0,85358.33,81983.33,87691.67,92633.33,95808.33,68051.66","""Professional Scientific & Technical Services"",37733.33,40850.0,45558.33,45200.0,46616.67,49641.67,53158.33,52350.0,54825.0,57566.67,57241.67,60783.33,64350.0,67858.33,43191.67, Management of Companies & Enterprises,4608.33,4025.0,3891.67,4558.33,5783.33,6450.0,7316.67,7583.33,6775.0,7133.33,6991.67,6208.33,5075.0,5608.33,4573.33, Administrative and Support and Waste and Remediatio,17666.67,19233.33,20308.33,21475.0,22750.0,20108.33,21208.33,21283.33,20850.0,20658.33,17750.0,20700.0,23208.33,22341.67,20286.67"
"Private Education and Health Services,36100.0,37183.33,38050.0,40533.33,43008.33,44108.33,45033.33,46975.0,48541.67,52008.33,50533.33,51950.0,54808.33,57041.67,38975.0","Private Educational Services,5141.67,5366.67,5758.33,6341.67,7191.67,7708.33,7866.67,8083.33,8300.0,10716.67,10458.33,10591.67,11258.33,11741.67,5960.0, Health Care & Social Assistance,30958.33,31816.67,32291.67,34191.67,35816.67,36400.0,37166.67,38891.67,40241.67,41291.67,40075.0,41358.33,43550.0,45300.0,33015.0"
"Leisure and Hospitality,33775.0,35458.33,36833.33,39441.67,40883.33,42233.33,42625.0,43616.67,45108.33,45716.67,30941.67,32975.0,39250.0,42225.0,37278.33","""Arts Entertainment and Recreation"",5066.67,5058.33,5125.0,5183.33,5266.67,5541.67,5950.0,5783.33,5725.0,5958.33,4041.67,4466.67,5258.33,5841.67,5140.0, Accommodation & Food Services,28708.33,30400.0,31708.33,34258.33,35616.67,36691.67,36675.0,37833.33,39383.33,39758.33,26900.0,28508.33,33991.67,36383.33,32138.33"
"Other Services,11208.33,12233.33,12900.0,13358.33,13866.67,13975.0,13908.33,13641.67,13683.33,13458.33,10691.67,10908.33,13883.33,14091.67,12713.33",
"Government,31341.67,30558.33,30283.33,30416.67,31216.67,32266.67,33250.0,33266.67,33216.67,32666.67,30325.0,29958.33,30233.33,30583.33,30763.33","Federal Government,4033.33,3766.67,3700.0,3616.67,3658.33,3758.33,3766.67,3741.67,3591.67,3483.33,3641.67,3408.33,3008.33,2633.33,3755.0"
