Main Category,Subcategories
"""Mining Logging and Construction"",18258.33,17758.33,19641.67,21700.0,21800.0,22791.67,25350.0,25500.0,26100.0,26075.0,24300.0,25825.0,27216.67,28041.67,19831.67",
"Manufacturing,18466.67,17600.0,17566.67,15408.33,15275.0,15000.0,14858.33,15583.33,15683.33,15991.67,15025.0,13925.0,13991.67,14116.67,16863.33","Durable Goods,6900.0,6691.67,7008.33,6466.67,6575.0,6666.67,6550.0,6508.33,6391.67,6458.33,6350.0,6316.67,6500.0,6433.33,6728.33, Nondurable Goods,11566.67,10908.33,10558.33,8941.67,8700.0,8333.33,8308.33,9075.0,9291.67,9533.33,8675.0,7608.33,7491.67,7683.33,10135.0"
"""Trade Transportation & Utilities"",55941.67,56508.33,57425.0,58716.67,60358.33,62466.67,64858.33,65233.33,64158.33,61941.67,58941.67,61858.33,64975.0,64275.0,57790.0","Wholesale Trade,7608.33,7883.33,8150.0,8658.33,9191.67,9550.0,10383.33,10600.0,9766.67,9008.33,8425.0,7966.67,8166.67,8450.0,8298.33, Retail Trade,40375.0,40533.33,41191.67,41133.33,41575.0,42341.67,43258.33,43116.67,42783.33,41450.0,38591.67,40866.67,42200.0,41441.67,40961.67, ""Transportation Warehousing and Utilities"",7958.33,8091.67,8083.33,8925.0,9591.67,10575.0,11216.67,11516.67,11608.33,11483.33,11925.0,13025.0,14608.33,14383.33,8530.0"
"Information,9608.33,8950.0,8433.33,8591.67,8325.0,8291.67,8116.67,7983.33,7816.67,7075.0,5925.0,5933.33,5858.33,5625.0,8781.67",
"Financial Activities,25341.67,24808.33,25333.33,25308.33,25016.67,26258.33,26950.0,27366.67,26991.67,27016.67,25608.33,24858.33,24883.33,23450.0,25161.67","Finance & Insurance,19175.0,18733.33,19033.33,18666.67,18191.67,19350.0,20025.0,20233.33,19725.0,19683.33,18783.33,17941.67,17300.0,15975.0,18760.0, Real Estate & Rental & Leasing,6166.67,6075.0,6300.0,6641.67,6825.0,6908.33,6925.0,7133.33,7266.67,7333.33,6825.0,6916.67,7583.33,7475.0,6401.67"
"Professional and Business Services,43775.0,45941.67,48141.67,52058.33,53158.33,50891.67,52108.33,54283.33,55266.67,56583.33,55933.33,56375.0,57625.0,54516.67,48615.0","""Professional Scientific & Technical Services"",22608.33,23641.67,24100.0,24650.0,24908.33,23341.67,23816.67,22975.0,23433.33,24408.33,24741.67,25275.0,25833.33,24616.67,23981.67, Management of Companies & Enterprises,5641.67,5825.0,5491.67,7966.67,8425.0,8491.67,8066.67,8366.67,8650.0,8891.67,8425.0,7308.33,7350.0,6408.33,6670.0, Administrative and Support and Waste and Remediatio,15525.0,16475.0,18550.0,19441.67,19825.0,19058.33,20225.0,22941.67,23183.33,23283.33,22766.67,23791.67,24441.67,23491.67,17963.33"
"Private Education and Health Services,53741.67,54341.67,56425.0,59508.33,61450.0,64116.67,67291.67,69341.67,70683.33,72408.33,69533.33,73383.33,77291.67,80666.67,57093.33","Private Educational Services,6275.0,6750.0,7000.0,6983.33,6633.33,6658.33,7216.67,7516.67,7625.0,7700.0,6858.33,6950.0,7508.33,7833.33,6728.33, Health Care & Social Assistance,47466.67,47591.67,49425.0,52525.0,54816.67,57458.33,60075.0,61825.0,63058.33,64708.33,62675.0,66433.33,69783.33,72833.33,50365.0"
"Leisure and Hospitality,31308.33,32258.33,33500.0,35350.0,36291.67,38258.33,40500.0,40741.67,41258.33,42958.33,31666.67,34633.33,39700.0,40958.33,33741.67","""Arts Entertainment and Recreation"",5483.33,5508.33,5858.33,5883.33,5966.67,6125.0,6508.33,6350.0,6491.67,6958.33,4500.0,5083.33,6175.0,7133.33,5740.0, Accommodation & Food Services,25825.0,26750.0,27641.67,29466.67,30325.0,32133.33,33991.67,34391.67,34766.67,36000.0,27166.67,29550.0,33525.0,33825.0,28001.67"
"Other Services,11766.67,12350.0,12358.33,12141.67,12533.33,12683.33,12958.33,13041.67,13491.67,13675.0,10666.67,11800.0,13391.67,14125.0,12230.0",
"Government,49208.33,47825.0,47941.67,48225.0,49216.67,49291.67,50358.33,50475.0,50808.33,50741.67,47441.67,46591.67,48175.0,49400.0,48483.33","Federal Government,5258.33,4841.67,4616.67,4450.0,4508.33,4683.33,4708.33,4808.33,4683.33,4733.33,5116.67,4841.67,4775.0,4808.33,4735.0"
